# timestamp, confidence, diameter
1.429124371520078897e+09,1.000000000000000000e+00,6.875378417968750000e+01
1.429124371548952103e+09,1.000000000000000000e+00,6.885639190673828125e+01
1.429124371595455885e+09,1.000000000000000000e+00,6.920523834228515625e+01
1.429124371629142046e+09,1.000000000000000000e+00,6.921296691894531250e+01
1.429124371650382996e+09,1.000000000000000000e+00,6.929441833496093750e+01
1.429124371696727037e+09,1.000000000000000000e+00,6.941288757324218750e+01
1.429124371728250027e+09,1.000000000000000000e+00,6.947801971435546875e+01
1.429124371757594109e+09,1.000000000000000000e+00,6.957949829101562500e+01
1.429124371782138109e+09,1.000000000000000000e+00,6.979865264892578125e+01
1.429124371825434923e+09,1.000000000000000000e+00,6.980450439453125000e+01
1.429124371857508898e+09,1.000000000000000000e+00,6.974733734130859375e+01
1.429124371891520977e+09,1.000000000000000000e+00,6.972563934326171875e+01
1.429124371915148020e+09,1.000000000000000000e+00,6.954972076416015625e+01
1.429124371945152044e+09,1.000000000000000000e+00,6.955869293212890625e+01
1.429124371988738060e+09,1.000000000000000000e+00,6.952743530273437500e+01
1.429124372015391111e+09,1.000000000000000000e+00,6.934263610839843750e+01
1.429124372049284935e+09,1.000000000000000000e+00,6.895593261718750000e+01
1.429124372080615044e+09,1.000000000000000000e+00,6.881076049804687500e+01
1.429124372121124983e+09,1.000000000000000000e+00,6.865956878662109375e+01
1.429124372148411036e+09,1.000000000000000000e+00,6.842193603515625000e+01
1.429124372179275036e+09,1.000000000000000000e+00,6.811570739746093750e+01
1.429124372214699984e+09,1.000000000000000000e+00,6.774251556396484375e+01
1.429124372244947910e+09,1.000000000000000000e+00,6.759208679199218750e+01
1.429124372274998903e+09,0.000000000000000000e+00,0.000000000000000000e+00
1.429124372316055059e+09,0.000000000000000000e+00,0.000000000000000000e+00
1.429124372381335974e+09,6.446808003109690821e-01,5.498793411254882812e+01
1.429124372428385973e+09,0.000000000000000000e+00,0.000000000000000000e+00
1.429124372452384949e+09,0.000000000000000000e+00,0.000000000000000000e+00
1.429124372480495930e+09,0.000000000000000000e+00,0.000000000000000000e+00
1.429124372520925999e+09,6.072075000714323156e-01,7.376286315917968750e+01
1.429124372553904057e+09,6.972792274826519199e-01,7.133329772949218750e+01
1.429124372582897902e+09,7.594536570535813658e-01,6.130218124389648438e+01
1.429124372612358093e+09,8.092659316656954926e-01,6.439403533935546875e+01
1.429124372648462057e+09,8.727377694433970934e-01,6.518847656250000000e+01
1.429124372671679020e+09,9.743769901679718570e-01,6.504038238525390625e+01
1.429124372714574099e+09,1.000000000000000000e+00,6.515805816650390625e+01
1.429124372736644983e+09,1.000000000000000000e+00,6.548761749267578125e+01
1.429124372774096966e+09,9.599766499856119406e-01,6.575899505615234375e+01
1.429124372829400063e+09,9.649633109644429885e-01,6.628710937500000000e+01
1.429124372871167898e+09,9.176466115311764371e-01,6.669769287109375000e+01
1.429124372895104885e+09,9.438060099092503430e-01,6.714060211181640625e+01
1.429124372908782959e+09,9.660535237336891345e-01,6.767140960693359375e+01
1.429124372943052053e+09,9.772289273478752536e-01,6.716513824462890625e+01
1.429124372982351065e+09,9.760592208024351235e-01,6.704122924804687500e+01
1.429124373018923044e+09,9.416825443654962546e-01,6.647895812988281250e+01
1.429124373052124977e+09,1.000000000000000000e+00,6.590122222900390625e+01
1.429124373082241058e+09,1.000000000000000000e+00,6.541240692138671875e+01
1.429124373135344028e+09,1.000000000000000000e+00,6.506610107421875000e+01
1.429124373173579931e+09,1.000000000000000000e+00,6.464743041992187500e+01
1.429124373203481913e+09,1.000000000000000000e+00,6.416534423828125000e+01
1.429124373235390902e+09,9.518052656357208763e-01,6.395264434814453125e+01
1.429124373272403955e+09,9.616674004928860153e-01,6.388314437866210938e+01
1.429124373303589106e+09,9.746082780594595985e-01,6.386364364624023438e+01
1.429124373332195997e+09,9.883668992231000594e-01,6.367204666137695312e+01
1.429124373381526947e+09,9.965788322179246483e-01,6.362038421630859375e+01
1.429124373406750917e+09,1.000000000000000000e+00,6.368645477294921875e+01
1.429124373436950922e+09,1.000000000000000000e+00,6.370309829711914062e+01
1.429124373474359035e+09,1.000000000000000000e+00,6.385540008544921875e+01
1.429124373503582954e+09,1.000000000000000000e+00,6.400627899169921875e+01
1.429124373536535025e+09,1.000000000000000000e+00,6.378044128417968750e+01
1.429124373569624901e+09,1.000000000000000000e+00,6.393302536010742188e+01
1.429124373603893995e+09,1.000000000000000000e+00,6.425366210937500000e+01
1.429124373631915092e+09,1.000000000000000000e+00,6.448332214355468750e+01
1.429124373664966106e+09,1.000000000000000000e+00,6.453927612304687500e+01
1.429124373705431938e+09,1.000000000000000000e+00,6.469186401367187500e+01
1.429124373733702898e+09,1.000000000000000000e+00,6.498024749755859375e+01
1.429124373772264957e+09,1.000000000000000000e+00,6.492250061035156250e+01
1.429124373808569908e+09,1.000000000000000000e+00,6.537097930908203125e+01
1.429124373845335007e+09,1.000000000000000000e+00,6.564583587646484375e+01
1.429124373875763893e+09,1.000000000000000000e+00,6.600073242187500000e+01
1.429124373903059006e+09,1.000000000000000000e+00,6.615782165527343750e+01
1.429124373926959038e+09,1.000000000000000000e+00,6.627925109863281250e+01
1.429124373970726013e+09,9.698518520841352686e-01,6.621641540527343750e+01
1.429124374007013083e+09,8.608709299176861007e-01,6.712059020996093750e+01
1.429124374038007975e+09,1.000000000000000000e+00,6.596091461181640625e+01
1.429124374086663008e+09,9.944341708533930291e-01,6.597179412841796875e+01
1.429124374104697943e+09,1.000000000000000000e+00,6.619738006591796875e+01
1.429124374135229111e+09,1.000000000000000000e+00,6.614737701416015625e+01
1.429124374162775993e+09,1.000000000000000000e+00,6.624389648437500000e+01
1.429124374193398952e+09,1.000000000000000000e+00,6.613494873046875000e+01
1.429124374235781908e+09,0.000000000000000000e+00,0.000000000000000000e+00
1.429124374267061949e+09,7.809603403689758805e-01,6.167071533203125000e+01
1.429124374311501980e+09,8.355939226950463983e-01,6.264419555664062500e+01
1.429124374347316980e+09,8.084892374004343241e-01,6.266852951049804688e+01
1.429124374384717941e+09,7.912774188653340923e-01,6.297008132934570312e+01
1.429124374420018911e+09,8.331030071784348845e-01,6.289691925048828125e+01
1.429124374453830957e+09,8.531277276031165036e-01,6.272574234008789062e+01
1.429124374489245892e+09,6.799501405496241047e-01,6.769213104248046875e+01
1.429124374515081882e+09,6.260242902421231381e-01,6.705078887939453125e+01
1.429124374554102898e+09,8.088290073526177570e-01,6.034641647338867188e+01
1.429124374587354898e+09,8.363401980788972567e-01,6.106615066528320312e+01
1.429124374639941931e+09,9.262843980966910529e-01,6.127695083618164062e+01
1.429124374661808968e+09,9.304859769693331062e-01,6.121882247924804688e+01
1.429124374699773073e+09,8.276799925654526602e-01,6.052080535888671875e+01
1.429124374729432106e+09,1.000000000000000000e+00,6.094323730468750000e+01
1.429124374763819933e+09,1.000000000000000000e+00,6.138602828979492188e+01
1.429124374802551031e+09,1.000000000000000000e+00,6.125125885009765625e+01
1.429124374850156069e+09,1.000000000000000000e+00,6.111712646484375000e+01
1.429124374877409935e+09,1.000000000000000000e+00,6.102231979370117188e+01
1.429124374894304991e+09,1.000000000000000000e+00,6.058010482788085938e+01
1.429124374936091900e+09,1.000000000000000000e+00,6.022617721557617188e+01
1.429124374962781906e+09,1.000000000000000000e+00,6.020460510253906250e+01
1.429124374993292093e+09,1.000000000000000000e+00,6.009393310546875000e+01
1.429124375018862963e+09,1.000000000000000000e+00,5.977260589599609375e+01
1.429124375048929930e+09,1.000000000000000000e+00,5.981835174560546875e+01
1.429124375087205887e+09,1.000000000000000000e+00,5.970252990722656250e+01
1.429124375126477957e+09,1.000000000000000000e+00,5.946278762817382812e+01
1.429124375164977074e+09,1.000000000000000000e+00,5.973957824707031250e+01
1.429124375222044945e+09,1.000000000000000000e+00,6.021269607543945312e+01
1.429124375252532005e+09,1.000000000000000000e+00,6.031512832641601562e+01
1.429124375275464058e+09,1.000000000000000000e+00,6.032456970214843750e+01
1.429124375307519913e+09,1.000000000000000000e+00,6.030550384521484375e+01
1.429124375324611902e+09,7.039949848650774999e-01,5.697115325927734375e+01
1.429124375357443094e+09,1.000000000000000000e+00,6.198568344116210938e+01
1.429124375392854929e+09,1.000000000000000000e+00,6.236254501342773438e+01
1.429124375411739111e+09,1.000000000000000000e+00,6.237551498413085938e+01
1.429124375447391987e+09,1.000000000000000000e+00,6.262773895263671875e+01
1.429124375487931967e+09,1.000000000000000000e+00,6.340753173828125000e+01
1.429124375546435118e+09,1.000000000000000000e+00,6.389311218261718750e+01
1.429124375568099022e+09,1.000000000000000000e+00,6.435111999511718750e+01
1.429124375588656902e+09,1.000000000000000000e+00,6.493576812744140625e+01
1.429124375610096931e+09,1.000000000000000000e+00,6.523981475830078125e+01
1.429124375675328970e+09,1.000000000000000000e+00,6.513721466064453125e+01
1.429124375705235958e+09,9.608701081030417424e-01,6.344452285766601562e+01
1.429124375722332001e+09,1.000000000000000000e+00,6.571218109130859375e+01
1.429124375751056910e+09,1.000000000000000000e+00,6.592816162109375000e+01
1.429124375776667118e+09,1.000000000000000000e+00,6.598554992675781250e+01
1.429124375809761047e+09,1.000000000000000000e+00,6.595261383056640625e+01
1.429124375849373102e+09,1.000000000000000000e+00,6.549799346923828125e+01
1.429124375886464119e+09,1.000000000000000000e+00,6.623326110839843750e+01
1.429124375919328928e+09,1.000000000000000000e+00,6.632097625732421875e+01
1.429124375949529886e+09,1.000000000000000000e+00,6.615901947021484375e+01
1.429124375979202032e+09,1.000000000000000000e+00,6.613510131835937500e+01
1.429124376024435997e+09,0.000000000000000000e+00,0.000000000000000000e+00
1.429124376049581051e+09,0.000000000000000000e+00,0.000000000000000000e+00
1.429124376081676006e+09,7.428189584447671967e-01,5.329135894775390625e+01
1.429124376115845919e+09,0.000000000000000000e+00,0.000000000000000000e+00
1.429124376140960932e+09,0.000000000000000000e+00,0.000000000000000000e+00
1.429124376179886103e+09,6.194495924473287785e-01,7.403741455078125000e+01
1.429124376206800938e+09,7.069948231323727184e-01,7.032633209228515625e+01
1.429124376238471031e+09,8.131006294585132466e-01,6.222941589355468750e+01
1.429124376272202969e+09,8.460641684906151649e-01,6.221221160888671875e+01
1.429124376305247068e+09,9.396070512944683095e-01,6.310384750366210938e+01
1.429124376345451117e+09,9.516845931136844738e-01,6.337265014648437500e+01
1.429124376379889011e+09,9.754728913134699253e-01,6.401037597656250000e+01
1.429124376447030067e+09,1.000000000000000000e+00,6.447357177734375000e+01
1.429124376476553917e+09,1.000000000000000000e+00,6.471679687500000000e+01
1.429124376514483929e+09,1.000000000000000000e+00,6.530825805664062500e+01
1.429124376549869061e+09,1.000000000000000000e+00,6.574273681640625000e+01
1.429124376568495989e+09,1.000000000000000000e+00,6.633950805664062500e+01
1.429124376610820055e+09,1.000000000000000000e+00,6.686077117919921875e+01
1.429124376640147924e+09,1.000000000000000000e+00,6.682400512695312500e+01
