# timestamp, confidence, diameter,time from start,diam conf 75,ticks
1429308537.31,1.00,89.57,4.59,89.57,
1429308537.34,1.00,89.57,4.62,89.57,
1429308537.38,1.00,89.91,4.65,89.91,
1429308537.41,1.00,90.63,4.69,90.63,
1429308537.44,1.00,90.84,4.72,90.84,
1429308537.48,1.00,91.24,4.75,91.24,
1429308537.54,1.00,91.75,4.82,91.75,
1429308537.58,1.00,92.12,4.85,92.12,
1429308537.61,1.00,92.26,4.88,92.26,
1429308537.65,1.00,92.43,4.92,92.43,
1429308537.68,1.00,92.66,4.95,92.66,
1429308537.72,1.00,92.75,4.99,92.75,
1429308537.74,1.00,92.89,5.01,92.89,
1429308537.77,1.00,92.78,5.05,92.78,
1429308537.80,1.00,92.67,5.08,92.67,
1429308537.84,1.00,92.57,5.11,92.57,
1429308537.88,1.00,92.50,5.15,92.50,
1429308537.91,1.00,92.56,5.18,92.56,
1429308537.94,1.00,92.42,5.22,92.42,
1429308537.98,1.00,92.86,5.25,92.86,
1429308538.01,1.00,92.99,5.28,92.99,
1429308538.05,1.00,93.13,5.32,93.13,
1429308538.08,1.00,93.28,5.35,93.28,
1429308538.11,1.00,93.56,5.38,93.56,
1429308538.15,1.00,93.85,5.42,93.85,
1429308538.16,1.00,93.79,5.44,93.79,
1429308538.20,1.00,93.75,5.47,93.75,
1429308538.23,1.00,94.07,5.51,94.07,
1429308538.27,1.00,94.24,5.54,94.24,
1429308538.30,1.00,93.98,5.57,93.98,
1429308538.34,1.00,93.92,5.61,93.92,
1429308538.37,1.00,93.97,5.64,93.97,
1429308538.41,1.00,94.05,5.68,94.05,
1429308538.44,1.00,94.00,5.71,94.00,
1429308538.47,1.00,93.95,5.75,93.95,
1429308538.49,1.00,93.50,5.77,93.50,
1429308538.53,1.00,93.42,5.80,93.42,
1429308538.56,1.00,93.17,5.84,93.17,
1429308538.60,1.00,93.18,5.87,93.18,
1429308538.63,1.00,92.82,5.90,92.82,
1429308538.67,1.00,92.72,5.94,92.72,
1429308538.70,0.00,0.00,5.97,,
1429308538.73,1.00,92.49,6.01,92.49,
1429308538.77,1.00,92.81,6.04,92.81,
1429308538.81,1.00,92.66,6.08,92.66,
1429308538.84,1.00,92.49,6.11,92.49,
1429308538.87,1.00,92.75,6.14,92.75,
1429308538.90,1.00,92.75,6.17,92.75,
1429308538.93,1.00,92.65,6.20,92.65,
1429308538.96,1.00,92.42,6.24,92.42,
1429308539.00,1.00,92.36,6.27,92.36,
1429308539.03,1.00,92.19,6.30,92.19,
1429308539.07,1.00,91.90,6.34,91.90,
1429308539.10,1.00,91.60,6.37,91.60,
1429308539.13,1.00,90.87,6.40,90.87,
1429308539.15,1.00,90.20,6.43,90.20,
1429308539.19,1.00,89.61,6.46,89.61,
1429308539.22,1.00,89.08,6.50,89.08,
