# timestamp, confidence, diameter
1.428344920814218044e+09,6.970036374771635401e-01,7.164730072021484375e+01
1.428344920850596905e+09,6.773923457384997127e-01,7.692147827148437500e+01
1.428344920907299995e+09,6.883449848684358718e-01,7.708877563476562500e+01
1.428344920971566916e+09,6.914195498580758548e-01,7.765720367431640625e+01
1.428344921015324116e+09,6.839072215542875144e-01,7.949337768554687500e+01
1.428344921059696913e+09,6.867959995138058771e-01,7.631346893310546875e+01
1.428344921107616901e+09,6.710254857622168778e-01,7.847535705566406250e+01
1.428344921144587040e+09,6.647315389900286808e-01,8.023918914794921875e+01
1.428344921212688923e+09,6.676236398798701677e-01,7.848867797851562500e+01
1.428344921259154081e+09,0.000000000000000000e+00,0.000000000000000000e+00
1.428344921323329926e+09,8.083232930220998202e-01,7.591201019287109375e+01
1.428344921372023106e+09,7.441564820391789459e-01,7.591470336914062500e+01
1.428344921422538042e+09,7.625089825145152655e-01,7.764168548583984375e+01
1.428344921464690924e+09,7.850124830763585138e-01,7.641140747070312500e+01
1.428344921522061110e+09,8.095878512991999676e-01,7.609310913085937500e+01
1.428344921564517021e+09,7.446842559936971417e-01,7.640259552001953125e+01
1.428344921607321024e+09,7.578889013738659974e-01,7.687414550781250000e+01
1.428344921682543993e+09,7.933943262629068460e-01,7.663273620605468750e+01
1.428344921729296923e+09,7.434586582080977557e-01,7.767111968994140625e+01
1.428344921787677050e+09,6.930631369437127987e-01,7.921697235107421875e+01
1.428344921826325893e+09,0.000000000000000000e+00,0.000000000000000000e+00
1.428344921882448912e+09,6.130173437520428648e-01,4.812723159790039062e+01
1.428344921915887117e+09,0.000000000000000000e+00,0.000000000000000000e+00
1.428344921950654984e+09,0.000000000000000000e+00,0.000000000000000000e+00
1.428344921994158030e+09,1.000000000000000000e+00,7.400777435302734375e+01
1.428344922029989004e+09,9.927055963866590060e-01,7.243102264404296875e+01
1.428344922087717056e+09,1.000000000000000000e+00,7.273896789550781250e+01
1.428344922128885984e+09,1.000000000000000000e+00,7.288745117187500000e+01
1.428344922179888964e+09,1.000000000000000000e+00,7.392124938964843750e+01
1.428344922225205898e+09,1.000000000000000000e+00,7.416836547851562500e+01
1.428344922260577917e+09,1.000000000000000000e+00,7.462097930908203125e+01
1.428344922314600945e+09,1.000000000000000000e+00,7.399470520019531250e+01
1.428344922353430033e+09,1.000000000000000000e+00,7.396157073974609375e+01
1.428344922408253908e+09,9.050829331868786021e-01,7.498183441162109375e+01
1.428344922435003042e+09,8.696809456524834392e-01,7.528593444824218750e+01
1.428344922481264114e+09,8.335230477514569136e-01,7.562879180908203125e+01
1.428344922524452925e+09,1.000000000000000000e+00,7.439238739013671875e+01
1.428344922565165043e+09,1.000000000000000000e+00,7.464663696289062500e+01
1.428344922611778975e+09,9.043277783197976039e-01,7.599121093750000000e+01
1.428344922641855955e+09,1.000000000000000000e+00,7.467211151123046875e+01
1.428344922675263882e+09,1.000000000000000000e+00,7.479787445068359375e+01
1.428344922699538946e+09,9.254448216616047995e-01,7.491009521484375000e+01
1.428344922730448008e+09,1.000000000000000000e+00,7.485150909423828125e+01
1.428344922781461000e+09,1.000000000000000000e+00,7.568448638916015625e+01
1.428344922817399025e+09,1.000000000000000000e+00,7.713623046875000000e+01
1.428344922858398914e+09,1.000000000000000000e+00,7.751448059082031250e+01
1.428344922904356003e+09,1.000000000000000000e+00,7.790928649902343750e+01
1.428344922941481113e+09,9.381884231918712347e-01,7.874839782714843750e+01
1.428344922998322010e+09,1.000000000000000000e+00,7.858232879638671875e+01
1.428344923029213905e+09,8.492823940544067529e-01,7.906758880615234375e+01
1.428344923078377008e+09,1.000000000000000000e+00,7.970860290527343750e+01
1.428344923114646912e+09,1.000000000000000000e+00,7.928244018554687500e+01
1.428344923150224924e+09,9.329983610897898405e-01,8.030809783935546875e+01
1.428344923187817097e+09,8.616703074678779828e-01,8.074910736083984375e+01
1.428344923239121914e+09,6.330765314622166517e-01,7.589919281005859375e+01
