# timestamp, confidence, diameter
1.429310306030386925e+09,1.000000000000000000e+00,7.182542419433593750e+01
1.429310306059823036e+09,1.000000000000000000e+00,7.197423553466796875e+01
1.429310306101850033e+09,1.000000000000000000e+00,7.183533477783203125e+01
1.429310306138469934e+09,1.000000000000000000e+00,7.173663330078125000e+01
1.429310306166289091e+09,1.000000000000000000e+00,7.185684967041015625e+01
1.429310306197557926e+09,1.000000000000000000e+00,7.183821868896484375e+01
1.429310306240250111e+09,1.000000000000000000e+00,7.178163146972656250e+01
1.429310306274262905e+09,1.000000000000000000e+00,7.170371246337890625e+01
1.429310306298367977e+09,1.000000000000000000e+00,7.174385070800781250e+01
1.429310306323960066e+09,1.000000000000000000e+00,7.177687072753906250e+01
1.429310306360872030e+09,1.000000000000000000e+00,7.190769958496093750e+01
1.429310306390973091e+09,1.000000000000000000e+00,7.178428649902343750e+01
1.429310306428428888e+09,1.000000000000000000e+00,7.173680114746093750e+01
1.429310306459140062e+09,1.000000000000000000e+00,7.168987274169921875e+01
1.429310306492311001e+09,1.000000000000000000e+00,7.171455383300781250e+01
1.429310306528975964e+09,1.000000000000000000e+00,7.179338073730468750e+01
1.429310306566050053e+09,1.000000000000000000e+00,7.180549621582031250e+01
1.429310306591587067e+09,1.000000000000000000e+00,7.189733886718750000e+01
1.429310306629916906e+09,1.000000000000000000e+00,7.184437561035156250e+01
1.429310306665410995e+09,1.000000000000000000e+00,7.198769378662109375e+01
1.429310306701980114e+09,1.000000000000000000e+00,7.210111236572265625e+01
1.429310306727369070e+09,1.000000000000000000e+00,7.217351531982421875e+01
1.429310306765841007e+09,1.000000000000000000e+00,7.222257995605468750e+01
1.429310306795906067e+09,1.000000000000000000e+00,7.231548309326171875e+01
1.429310306827788115e+09,1.000000000000000000e+00,7.236344146728515625e+01
1.429310306858627081e+09,1.000000000000000000e+00,7.235409545898437500e+01
1.429310306892188072e+09,1.000000000000000000e+00,7.243228149414062500e+01
1.429310306925033092e+09,1.000000000000000000e+00,7.223616027832031250e+01
1.429310306958389044e+09,1.000000000000000000e+00,7.212535095214843750e+01
1.429310306983496904e+09,1.000000000000000000e+00,7.205051422119140625e+01
1.429310307016640902e+09,1.000000000000000000e+00,7.208349609375000000e+01
1.429310307049163103e+09,1.000000000000000000e+00,7.203470611572265625e+01
